HA1,,HA2,,HA3,,HA4,,HA5,,HA6,,HA7,,HA8,,HA9,,HB1,,HB2,,HB3,,HB4,,HB5,,HB6,,HB7,,HB8,,HB9,
X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm)
,,,,,,39.964598,-5.052706,,,,,,,,,,,,,,,,,-12.023051,-16.077923,,,,,,,,,,
,,,,,,39.249688,9.134552,,,,,,,,,,,,,,,,,-16.637622,11.263433,,,,,,,,,,
,,,,,,-30.628304,26.360039,,,,,,,,,,,,,,,,,-16.31526,11.725514,,,,,,,,,,
,,,,,,33.264568,-22.999563,,,,,,,,,,,,,,,,,5.847972,19.221775,,,,,,,,,,
,,,,,,-28.250893,-29.004343,,,,,,,,,,,,,,,,,10.266332,17.270722,,,,,,,,,,
,,,,,,-6.044688,-40.211894,,,,,,,,,,,,,,,,,19.119329,-6.174677,,,,,,,,,,
,,,,,,15.055042,37.893659,,,,,,,,,,,,,,,,,16.344438,-11.684809,,,,,,,,,,
,,,,,,39.798342,9.907149,,,,,,,,,,,,,,,,,-4.724296,-19.528349,,,,,,,,,,
,,,,,,39.81517,9.905258,,,,,,,,,,,,,,,,,-6.033828,-19.164246,,,,,,,,,,
,,,,,,41.071621,0.628111,,,,,,,,,,,,,,,,,-12.132362,-16.01503,,,,,,,,,,
,,,,,,28.184616,30.251391,,,,,,,,,,,,,,,,,-16.562956,11.400284,,,,,,,,,,
,,,,,,28.200516,30.258276,,,,,,,,,,,,,,,,,-16.248717,11.843867,,,,,,,,,,
,,,,,,36.983902,18.591695,,,,,,,,,,,,,,,,,10.423823,17.194241,,,,,,,,,,
,,,,,,-16.311016,38.217558,,,,,,,,,,,,,,,,,10.441953,17.183236,,,,,,,,,,
,,,,,,16.33333,39.809462,,,,,,,,,,,,,,,,,19.178007,-6.041691,,,,,,,,,,
,,,,,,16.338406,39.824549,,,,,,,,,,,,,,,,,19.17177,-6.061454,,,,,,,,,,
,,,,,,-30.867329,30.388684,,,,,,,,,,,,,,,,,16.272246,-11.811519,,,,,,,,,,
,,,,,,-36.637717,23.107181,,,,,,,,,,,,,,,,,-5.918834,-19.216279,,,,,,,,,,
,,,,,,-36.563027,-23.461402,,,,,,,,,,,,,,,,,-11.278105,-16.646391,,,,,,,,,,
,,,,,,-36.575839,-23.470855,,,,,,,,,,,,,,,,,-12.249768,-15.944942,,,,,,,,,,
,,,,,,-41.254869,-13.864969,,,,,,,,,,,,,,,,,-16.492972,11.528353,,,,,,,,,,
,,,,,,-38.663391,-23.610684,,,,,,,,,,,,,,,,,-16.181033,11.962242,,,,,,,,,,
,,,,,,-42.708005,-15.857532,,,,,,,,,,,,,,,,,5.493752,19.358196,,,,,,,,,,
,,,,,,34.968658,29.963017,,,,,,,,,,,,,,,,,10.591836,17.109473,,,,,,,,,,
,,,,,,-46.870365,-6.523717,,,,,,,,,,,,,,,,,12.061302,16.107329,,,,,,,,,,
,,,,,,-46.887682,-6.514675,,,,,,,,,,,,,,,,,19.231079,-5.923399,,,,,,,,,,
,,,,,,-46.903281,-6.517994,,,,,,,,,,,,,,,,,16.199364,-11.937406,,,,,,,,,,
,,,,,,-46.920751,-6.507811,,,,,,,,,,,,,,,,,-5.807597,-19.266366,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.354597,-15.883481,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-16.432613,11.641044,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-16.130137,12.056672,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.371563,19.408529,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.387843,19.404016,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10.706076,17.056512,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.157728,16.054106,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.170806,16.044193,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.273238,-5.838404,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16.15438,-12.024171,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16.14746,-12.033462,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.722345,-19.308015,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.435987,-15.839536,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.445101,-15.832376,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-16.384155,11.735767,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-16.081608,12.147044,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.257348,19.455823,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10.817217,17.004605,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10.824554,16.999935,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.268112,15.98944,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.320256,-5.735547,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16.09499,-12.129306,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.332695,-19.682391,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.624781,-19.352794,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-11.551646,-16.514486,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.538422,-15.778363,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.495405,5.169393,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-16.022894,12.249911,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.888085,19.290513,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.901031,19.286557,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10.962635,16.92968,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.383894,15.919567,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.398387,15.908282,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17.965284,9.167442,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.370096,-5.620747,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16.026416,-12.245302,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.224534,-19.721733,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.519929,-19.399067,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-11.661316,-16.456219,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.633793,-15.721982,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.967671,12.347148,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.9917,19.557646,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.791656,19.335855,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.084514,16.868673,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.489027,15.856948,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.414498,-5.522305,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.969743,-12.344468,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.152062,-19.752948,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.433832,-19.439445,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-11.742009,-16.417789,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-11.749875,-16.41216,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.724409,-15.668695,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.922892,12.430032,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.876752,19.602589,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.889905,19.599312,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.706525,19.3773,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.20083,16.810283,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.593477,15.793939,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.456189,-5.431473,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.917826,-12.436519,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.339546,-19.481618,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-11.842198,-16.364796,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.812942,-15.616424,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.87379,12.517713,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.761441,19.646858,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.611824,19.421066,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.305204,16.75896,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.685554,15.739984,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.49848,-5.336633,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.866586,-12.526844,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.251992,-19.521448,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.260416,-19.51918,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-11.91831,-16.328633,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.893434,-15.570155,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.82542,12.603695,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.657572,19.687662,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.666537,19.685539,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.531287,19.460264,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.403349,16.711094,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.777032,15.685805,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.538298,-5.248994,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.819678,-12.610901,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-3.901703,-19.851291,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.173089,-19.558532,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.005252,-16.28407,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.975627,-15.521924,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.518986,5.378972,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.783886,12.680422,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.447243,19.500044,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.510894,16.656034,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.872411,15.627706,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.578094,-5.15969,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.765635,-12.703106,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-3.81751,-19.88343,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-5.091143,-19.596031,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.095153,-16.236731,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.066184,-15.466059,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.560519,5.285638,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.728831,12.773243,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.43992,19.769648,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.623356,16.59667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.974626,15.563128,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.621125,-5.056017,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.705231,-12.802249,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-3.720709,-19.917535,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.986852,-19.638818,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.189142,-16.185694,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.154661,-15.411254,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.670153,12.869593,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.326584,19.810623,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.251195,19.585838,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.730371,16.540208,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13.07727,15.497261,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.661946,-4.958629,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.648537,-12.895868,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.906304,-19.675068,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.271723,-16.142643,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.236298,-15.361657,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.64127,5.101896,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.628589,12.944345,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.185645,19.619325,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.816969,16.497518,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13.152943,15.453444,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.694569,-4.892115,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.614307,-12.961569,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.842067,-19.706933,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.337169,-16.112203,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.301594,-15.325679,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.831405,4.376463,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.673534,5.038861,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.594784,13.009256,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.154215,19.879149,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.109561,19.65529,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.893166,16.461794,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13.225525,15.411799,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.729971,-4.813137,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.56825,-13.040999,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-3.500288,-20.00465,,,,,,,,,,
